Clue Type,Clue Value,Count
SIZE,BCYLINDERS,14
SIZE,8CYLINDERS,7
,,145
1,BB,1
4,1,1
B,B,3
B,BB,3
,BBY,1
,4B1,1
1B,,1
,B4,1
BB,B,1
BB,BB,1
B,,5
B1,B,1
1,B,3
,1J,1
,B,21
,BB,3
1,,4
B,1,2
4B,,1
X,,2
BB2,,2
Y,,1
LXBB,,1
BBB,,1
2B,,1
LBB,,1
144,,1
1BY61,,1
4BBN642B,,1
Y4B,,1
Y4A42,,1
BFB,,1
BBYYBBBK2,,1
BBYBBYBN2,,1
BYBBVBBBBY2,,1
BBYVBBBBY2,,1
BYBBYBW,,1
CRIME,BACKFIRE,16
CRIME,BCKFIRE,8
CRIME,FIRE,2
IME,E,1
CRIME,ACKFIRE,1
,BIK,1
N,1LIK,1
T,YLIK,1
N,B16K,1
YY4,41K,1
YB4,KBIB,1
TY4,KLIB,1
Y,11K,1
TME,BEOLI,1
TI,RLINE,1
F,,1
,F,1
3N,B,1
W,B1,1
6,MB,1
6,BB,2
B,1B,1
W,BB,2
B,41,1
6,B41,1
A,1B,1
A,BB,1
A,1BB,1
W1,441B,1
KY,41,1
1A,41,1
NX,B6B,1
NT,M1AB,1
N,41K,1
BNT,MI1B,1
1NF,4LB,1
1KE,1IK,1
LNT,KILIB,1
D,IL,1
YB,1WL,1
,II,1
,6,1
E,,1
1E,LIMB,2
PE,CLIMB,1
PE,LCLIMB,2
E,LIMB,1
,4B,1
,B1,1
1,B4B,1
E,LIB,1
PE,HILLCLIMB,11
PCE,HILLCLIMB,7
CE,LI,1
,BBB,1
WEAPON,SPANNER,16
WPON,SPNER,1
W,SPNB,3
WN,SPNER,1
WEAPON,SPNER,1
WPON,SPANNER,1
,9YS22KKBKB,1
,I2YK1WY2Y,1
NYN6,KNM,1
,R3BKYY4BKY2K2,1
,1WNB4WYY4WX4,1
,N4B1Y2KB6BY,1
,T262X2241WXN,1
,BYAX24NY,1
,M,1
Y,2NW4WF,1
3,FIJ,1
AB,IO,1
FY,IJ,1
MY3T,D,1
T,E,1
IT,O,1
IT,ARD,1
BAIT,EARD,1
