Clue Type,Clue Value,Count
A,4B,1
,BB,7
B1,,2
B,B,12
A,BB,2
,4B,2
,B1,1
,,190
,BBB,3
,B1B,2
,B4,1
BB,,1
1,,1
K,,1
B,,11
,2,1
,B,16
,W,2
FKY,,1
MKF,K,1
B11,B4,1
FW2,F,1
Y,,1
1,6,1
Y,B,2
1,BB,4
BB,B,1
B1,YB,1
11,4,1
11,BB,1
1B,6B,1
B11,64,1
B,B4,1
B1,B4,1
BM,BB4,1
TI,,1
BY,WB,1
3B4,B13,1
BWMBB,,1
YWVY1LYVB,,1
U1CTJ,BAWBW,1
UTKTT,BAWBA,1
VTBTTM,YBY,1
VTCFTN,BB,1
VICTIM,BURETORS,11
VICTIM,CBURETORS,4
VICTIM,CARBURETORS,4
,U,1
CRIK,KFIR,3
4BIK,KFWB,1
BI1,LBL,1
BIK,KFIB,2
B6K,L6B,1
4BK,KB,2
BIK,LXB6,1
CBIK,BR,1
BIK,KFTB,1
CBIK,KFTBL,1
CRIK,BIR,1
CRIK,KFIRE,2
CRIK,KFIB,1
CRIME,KFIRE,2
CRIME,KFIRF,1
CRIK,BCKFIRE,1
CRIME,BCKFIRE,7
JW,,1
,3,2
,J,1
,4,3
X,BW,1
1M,BK,1
4,W4,1
Y,BB,3
M,B,1
Y,1B,1
,B4B,1
Y,BBB,3
Y,BBB4,1
B,B4B,3
M,BB,1
M,BAB,2
M,W4,1
,WAB,1
B,BBY,1
N,KY1,1
N,4KB,1
M,41Y,1
,MKB,1
N,4K1,1
M,BYB,1
M,KB,1
,66B,1
,1B,1
,BAB,1
,BB4Y,1
M,661,1
M,LK,1
N,LK,1
,LK,1
M,B1B,1
,L61B,1
,BBY,1
BN,L1,1
Y,LIK,1
TIME,REINE,4
TIME,REDLINE,24
TTIME,REDLINE,1
TYWME,REI,1
TIME,RLINE,1
TIME,REOLINE,1
TIME,RKLINE,1
TIME,DLINE,1
IME,,1
T,REDLIN,1
T3,REDLINE,1
TJ,REDLINB,1
TI,REDLINE,1
,EIB,1
,I,2
2,,2
F,,1
I,,1
,F,3
,X,1
4,,1
L,F,1
6,B,1
B,BB,10
4,B,1
B,1B,5
B,4B,3
B,1BB,2
,BBI,1
B,1,3
B,4,1
1,K4B,1
B,KBB,2
B,BBBB,1
B,14B,1
1,4B,1
B,BBB,1
B,B1B,1
B,BK,1
K,BK,1
K,44,1
Y,41YB,1
Y,ABW,1
B,BBW,1
K,B4,1
1,B1W,1
K,BBW,2
Y,BB4B,2
K,ABV,1
M,AB4B,1
M,ABV,1
Y,MB1B,1
Y,B4BW,2
B,BB4B,1
B,B1B6,1
K,BBBW,1
Y,4B,1
K,B1B,1
K,B14B,1
M,BB4B,1
K,AB1B,1
M,ABW4,1
K,ABW,1
K,B6,1
Y,AB64,1
Y,AB6Y,1
K,A1B4,1
YW,A4,1
YX,AB,1
K1,ABL,1
Y,ABB64,1
YY,AB44,1
YY,A4,1
KY,A6,2
KYY,ABT,1
KY,XB64,1
KYB,ABV,1
KY,ABB4,1
KY,X4,1
KYBY,X4,1
K1TW,A3T,1
K1TY,AYB44I,1
KB,X,1
KIY,XT,1
KXY,AB44,1
KTY1,XT,1
KTIY4,X41,1
KTIY,X6BD,1
KTIVY,X1AY,1
KTIF,XEBDT,1
KTIVY,AGNEAT,1
KTI4,XB4DT,1
KTIK,XLRT,1
KTIK,11BBT,1
MUTIB,AT,1
KTIB,RHBT,2
KTIB,XKBKAT,1
KTI4,BEAT,1
KTI4,XEBBT,1
KTIB,BT,1
KTI4,EAT,1
MOTIB,XERHBT,1
MDTIB,XERHBT,1
MOTIB,RHBT,2
KTIB,XERHBT,1
KTI4,1ERHBT,1
KTIVE,1ERHBT,3
MOTIVE,XERHBT,1
MOTII,1ERHBT,1
MOTI4,1ERHBT,1
MOTIVE,OVERHBT,2
KTIVE,OVERHBT,2
,K,2
2N,NBAKKW,1
,BM2,1
P,2B143BM,1
X4NB,12BT4YMKBYBYBKYPX13BZW6AWBT3KBB22W,1
BYWXBY,BANVNN6K662YXBAB24BT,1
BB4K222V,45BY1VW6KYWX1WNNM41NVKWB2N,1
2WBB1,YBN6BY4M2BQNYW4X4B2YBMM,1
KBBB12B2,BPLYX4MNBBN11T41BBYBM,1
YYFBAK,YK46BBXV1BW2YWBW2XV,1
2VM,WKWN2NB1Z1KNB,1
2M,121BYW,1
2,WY,1
,L,1
BAIT,EARD,6
BAIT,KEARD,2
BAIT,KERD,1
BAIT,ERD,2
BANDIT,NKEARD,4
BANDIT,KEARD,1
BANDIT,NKERD,2
BANDIT,IKEARD,1
BANDIT,DUKEARD,16
BANDIT,DUKEHARD,1
BANDIT,DUKERD,9
BANDIT,DUKEZARD,7
BANDIT,EDUKEZARD,1
BANDIT,LDUKERD,1
BANDIT,KERD,1
