Clue Type,Clue Value,Count
SIZE,,167
SIZE,G,19
SIZE,AG,1
EZE,,14
SIZE,BAG,23
V,,1
A,,8
,AA,1
A,A,7
A,AA,4
V,VK,1
A,V,5
A,K,1
Y,IA,1
V,AAA,1
A,IA,1
AY,AA,1
AY,VAV,1
Y,VAV,1
AM,AA,1
AAN,IV,1
AN,IA,1
AYAXA,IA,1
AIVAMA,IAYA,1
AAAIA,IV,1
AAVAIA,IV,1
ATZ,IY,1
ATZ,IV,1
AAVM,IT,1
AINV,EIAA,1
AATA,IYA,1
AMCTITM,ILYN,1
AVITM,JELY,1
AVCTIM,JELYBFS,1
AAAVCTIM,JEWLE,1
AAAICTIM,JELS,1
VICTIM,JELLYBS,2
VICTIM,JELLYBEANS,118
VICTIM,JELLYBNS,2
ICTIM,FBEANS,1
CRIA,PILNFWT,1
CRIME,PILLNFI,2
CRIME,PILLOWFIGHT,20
,,137
A,PA,1
,AVI,1
N,VI,1
,AVA,1
N,IVAA,1
AA,AVI,1
N,AVATA,1
,NAJA,1
TYAI,NUVTIME,1
TME,CJTGPVTINF,1
TME,SRAAYTIME,1
TME,SYAINE,1
TIME,STATIME,1
TME,STTIME,1
TIME,STYTIME,1
TI,STORYJ,1
TIM,STORYTI,1
TIME,STORYTIME,28
,V,5
,A,6
PLACE,AONBASE,1
PLACE,ONBASE,1
PLACE,NBASE,3
PCE,ONBASE,1
PCE,NBASE,3
PLACE,MOONBASE,17
PLACE,BASE,1
A,P,1
T,V,1
A,AV,1
AN,A,1
AA,VI,1
AI,VA,1
AA,II,1
AA,A,1
AA,AA,1
AINA,VM,1
ATVVT,AM,1
ATVT,AM,1
ATA,AM,1
AIN,AM,1
AIN,FI,1
ATIN,FM,1
AIIV,FI,1
ATIVA,FI,1
ITIVT,FI,1
ATII,FI,1
MOTII,FI,1
MOTIVE,FUN,19
R,VII,1
BA,IAA,1
R,AI,1
K,AI,1
BA,UA,1
B,WA,1
W,FVII,1
W,VIA,1
W,VI,1
K,IAE,1
,IAE,1
K,AEA,1
W,TIAXLEIN,1
WE,TIAEA,1
,TICIIN,1
W,IILKLE,1
,TACE,1
WP,TICKLEGUN,3
WNN,TICKLEGUN,1
W,TICKLEGUN,2
WEANN,TICKLEGUN,1
WPM,TICKLEGUN,1
WEAPM,TICKLEGUN,1
WEA,TICKLEGUN,1
WEAPON,TICKLEGUN,19
,AYX,1
,MPM,1
,NMYW,1
,IYPPA,1
,KCANAPJ,1
,VRA,1
,Y,1
,F,1
,P,3
,M,2
,N,1
,AY,1
,X,1
,YM,1
